obs_id,side,source,source_record_id,donor_name,donor_dac_code,donor_iati_id,recipient,sector,sector_raw,flow_stage,instrument,amount_usd,amount_usd_constant,price_base_year,amount_original,currency_original,price_base,year,fiscal_basis,period_start,period_end,status,confidence,dataset_version,dedup_key,is_multilateral_outflow,counts_in_headline,source_url,retrieved_at,notes
dd0b5028cc66e684,recipient,nepal_dcr,DCR2022_23|AnnexA|USAID|2011/12,USAID,,,NPL,,,disbursement,,22487717.0,,,22487717.0,USD,current,2011,nepal_fy,2011-07-16,2012-07-15,REPORTED,low,2026-06-03.1,DCR2022_23|AnnexA|USAID|2011/12,False,True,https://giwmscdntwo.gov.np/media/pdf_upload/DCR%20Report%202022_23_pt2fped.pdf,2026-06-03T16:40:43Z,"DCR 2022/23 Annex A (Development Partner Disbursements, FY2010/11-2022/23), p125; recipient-reported; FY 2011/12"
eecf38f893e99703,recipient,nepal_dcr,DCR2022_23|AnnexA|United Kingdom|2011/12,United Kingdom,,,NPL,,,disbursement,,84240019.0,,,84240019.0,USD,current,2011,nepal_fy,2011-07-16,2012-07-15,REPORTED,low,2026-06-03.1,DCR2022_23|AnnexA|United Kingdom|2011/12,False,True,https://giwmscdntwo.gov.np/media/pdf_upload/DCR%20Report%202022_23_pt2fped.pdf,2026-06-03T16:40:43Z,"DCR 2022/23 Annex A (Development Partner Disbursements, FY2010/11-2022/23), p125; recipient-reported; FY 2011/12"
d3f3a93626f90e2d,recipient,nepal_dcr,DCR2022_23|AnnexA|World Bank Group|2011/12,World Bank Group,,,NPL,,,disbursement,,269605647.0,,,269605647.0,USD,current,2011,nepal_fy,2011-07-16,2012-07-15,REPORTED,low,2026-06-03.1,DCR2022_23|AnnexA|World Bank Group|2011/12,True,True,https://giwmscdntwo.gov.np/media/pdf_upload/DCR%20Report%202022_23_pt2fped.pdf,2026-06-03T16:40:43Z,"DCR 2022/23 Annex A (Development Partner Disbursements, FY2010/11-2022/23), p125; recipient-reported; FY 2011/12"
7db43408baa09097,recipient,nepal_dcr,DCR2022_23|AnnexA|ADB|2012/13,ADB,,,NPL,,,disbursement,,101204607.0,,,101204607.0,USD,current,2012,nepal_fy,2012-07-16,2013-07-15,REPORTED,low,2026-06-03.1,DCR2022_23|AnnexA|ADB|2012/13,True,True,https://giwmscdntwo.gov.np/media/pdf_upload/DCR%20Report%202022_23_pt2fped.pdf,2026-06-03T16:40:43Z,"DCR 2022/23 Annex A (Development Partner Disbursements, FY2010/11-2022/23), p125; recipient-reported; FY 2012/13"
f743f067433f1ac1,recipient,nepal_dcr,DCR2022_23|AnnexA|Australia|2012/13,Australia,,,NPL,,,disbursement,,16064901.0,,,16064901.0,USD,current,2012,nepal_fy,2012-07-16,2013-07-15,REPORTED,low,2026-06-03.1,DCR2022_23|AnnexA|Australia|2012/13,False,True,https://giwmscdntwo.gov.np/media/pdf_upload/DCR%20Report%202022_23_pt2fped.pdf,2026-06-03T16:40:43Z,"DCR 2022/23 Annex A (Development Partner Disbursements, FY2010/11-2022/23), p125; recipient-reported; FY 2012/13"
b96324274192d9f9,recipient,nepal_dcr,DCR2022_23|AnnexA|China|2012/13,China,,,NPL,,,disbursement,,34120033.0,,,34120033.0,USD,current,2012,nepal_fy,2012-07-16,2013-07-15,REPORTED,low,2026-06-03.1,DCR2022_23|AnnexA|China|2012/13,False,True,https://giwmscdntwo.gov.np/media/pdf_upload/DCR%20Report%202022_23_pt2fped.pdf,2026-06-03T16:40:43Z,"DCR 2022/23 Annex A (Development Partner Disbursements, FY2010/11-2022/23), p125; recipient-reported; FY 2012/13"
595a41c46b0b2d84,recipient,nepal_dcr,DCR2022_23|AnnexA|Denmark|2012/13,Denmark,,,NPL,,,disbursement,,30549044.0,,,30549044.0,USD,current,2012,nepal_fy,2012-07-16,2013-07-15,REPORTED,low,2026-06-03.1,DCR2022_23|AnnexA|Denmark|2012/13,False,True,https://giwmscdntwo.gov.np/media/pdf_upload/DCR%20Report%202022_23_pt2fped.pdf,2026-06-03T16:40:43Z,"DCR 2022/23 Annex A (Development Partner Disbursements, FY2010/11-2022/23), p125; recipient-reported; FY 2012/13"
0a93ec5ad34a1592,recipient,nepal_dcr,DCR2022_23|AnnexA|European Union|2012/13,European Union,,,NPL,,,disbursement,,28066696.0,,,28066696.0,USD,current,2012,nepal_fy,2012-07-16,2013-07-15,REPORTED,low,2026-06-03.1,DCR2022_23|AnnexA|European Union|2012/13,True,True,https://giwmscdntwo.gov.np/media/pdf_upload/DCR%20Report%202022_23_pt2fped.pdf,2026-06-03T16:40:43Z,"DCR 2022/23 Annex A (Development Partner Disbursements, FY2010/11-2022/23), p125; recipient-reported; FY 2012/13"
0bcfedee146c717e,recipient,nepal_dcr,DCR2022_23|AnnexA|Finland|2012/13,Finland,,,NPL,,,disbursement,,6470909.0,,,6470909.0,USD,current,2012,nepal_fy,2012-07-16,2013-07-15,REPORTED,low,2026-06-03.1,DCR2022_23|AnnexA|Finland|2012/13,False,True,https://giwmscdntwo.gov.np/media/pdf_upload/DCR%20Report%202022_23_pt2fped.pdf,2026-06-03T16:40:43Z,"DCR 2022/23 Annex A (Development Partner Disbursements, FY2010/11-2022/23), p125; recipient-reported; FY 2012/13"
c3c02334b8f34ba2,recipient,nepal_dcr,DCR2022_23|AnnexA|GAVI|2012/13,GAVI,,,NPL,,,disbursement,,798529.0,,,798529.0,USD,current,2012,nepal_fy,2012-07-16,2013-07-15,REPORTED,low,2026-06-03.1,DCR2022_23|AnnexA|GAVI|2012/13,True,True,https://giwmscdntwo.gov.np/media/pdf_upload/DCR%20Report%202022_23_pt2fped.pdf,2026-06-03T16:40:43Z,"DCR 2022/23 Annex A (Development Partner Disbursements, FY2010/11-2022/23), p125; recipient-reported; FY 2012/13"
