source,sector,year,flow_stage,amount_usd
adb_iati,43060,2019,disbursement,26618666.080000002
adb_iati,43060,2020,commitment,50750000.0
adb_iati,43060,2020,disbursement,20024898.91
adb_iati,43060,2021,disbursement,15574553.35
adb_iati,43060,2022,disbursement,8188037.33
adb_iati,43060,2023,disbursement,12513833.16
adb_iati,43060,2024,commitment,166000000.0
adb_iati,43060,2024,disbursement,13783734.93
adb_iati,43060,2025,commitment,2000000.0
adb_iati,43060,2025,disbursement,13415707.08
adb_iati,43060,2026,disbursement,3540623.49
oecd_crs,admin,2015,commitment,3427384.0
oecd_crs,admin,2015,disbursement,3441140.0
oecd_crs,admin,2016,commitment,924844.0
oecd_crs,admin,2016,disbursement,901188.0
oecd_crs,admin,2017,commitment,29689399.0
oecd_crs,admin,2017,disbursement,17766666.0
oecd_crs,admin,2018,commitment,19345535.0
oecd_crs,admin,2018,disbursement,19736749.0
oecd_crs,admin,2019,commitment,23016748.0
oecd_crs,admin,2019,disbursement,26149456.0
oecd_crs,admin,2020,commitment,21444536.0
oecd_crs,admin,2020,disbursement,21504807.0
oecd_crs,admin,2021,commitment,24319800.0
oecd_crs,admin,2021,disbursement,25870123.0
oecd_crs,admin,2022,commitment,22111849.0
oecd_crs,admin,2022,disbursement,23690920.0
oecd_crs,admin,2023,commitment,66257767.0
oecd_crs,admin,2023,disbursement,31542128.0
oecd_crs,admin,2024,commitment,37785508.0
oecd_crs,admin,2024,disbursement,33064640.0
oecd_crs,agriculture,2015,commitment,89031976.0
oecd_crs,agriculture,2015,disbursement,75819387.0
oecd_crs,agriculture,2016,commitment,38334562.0
oecd_crs,agriculture,2016,disbursement,85135000.0
oecd_crs,agriculture,2017,commitment,209518888.0
oecd_crs,agriculture,2017,disbursement,117308420.0
oecd_crs,agriculture,2018,commitment,155815587.0
oecd_crs,agriculture,2018,disbursement,85800072.0
oecd_crs,agriculture,2019,commitment,128995313.0
oecd_crs,agriculture,2019,disbursement,100026439.0
oecd_crs,agriculture,2020,commitment,156454503.0
oecd_crs,agriculture,2020,disbursement,70673346.0
oecd_crs,agriculture,2021,commitment,30507321.0
oecd_crs,agriculture,2021,disbursement,77632613.0
oecd_crs,agriculture,2022,commitment,122430554.0
oecd_crs,agriculture,2022,disbursement,112248284.0
oecd_crs,agriculture,2023,commitment,33118966.0
oecd_crs,agriculture,2023,disbursement,74005690.0
oecd_crs,agriculture,2024,commitment,359562428.0
oecd_crs,agriculture,2024,disbursement,74473355.0
oecd_crs,budget_support,2015,commitment,216229406.0
oecd_crs,budget_support,2015,disbursement,99756860.0
oecd_crs,budget_support,2016,disbursement,55521630.0
oecd_crs,budget_support,2017,disbursement,46153117.0
oecd_crs,budget_support,2018,disbursement,254751.0
